id,common_name,category,symptom_description,likely_cause,trigger_conditions,disambiguation_notes,soil_related,recommended_action,confidence_source,region_notes,notes_conflicts
BS,Brown Spot,fungal_disease,"First noticeable symptoms develop on leaf blades and consist of small chlorotic spots, arranged as alternate bands of diseased and healthy tissue. Spots on the mid-ribs are circular and dark brown, while lesions on the laminae continue as chlorotic spots. Nodes and internodes also show brown lesions. In severe infections, these may coalesce and induce stalk rotting and lodging.",Physoderma maydis,Normally the disease occurs in areas of abundant rainfall and high mean temperatures.,,FALSE,,CIMMYT Maize Diseases Guide p. 5,,
CTDM,Crazy Top Downy Mildew / Yellow Wilt of Rice,fungal_disease,"Usually, there is chlorotic striping of leaves and leaf sheaths, and dwarfing. Induces tassel malformations where no pollen is produced, and ears, if formed at all, are nubbins. Leaves may be narrow, thick, and abnormally erect.",Sclerophthora macrospora,The disease is most prevalent in warm and humid regions.,False head smut does not produce tassel malformation or ear infection as does true head smut (Sphacelotheca reiliana).,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
BSDM,Brown Stripe Downy Mildew,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing. Conspicuous after development of a 'downy growth' on or under leaf surfaces.",Sclerophthora rayssiae var. zeae,The disease is most prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
GDM,Graminicola Downy Mildew of Maize / Green Ear Disease,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing. Conspicuous downy growth on or under leaf surfaces.",Sclerospora graminicola,Prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
JDM,Java Downy Mildew of Maize,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing.",Peronosclerospora maydis,Prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
PDM,Philippine Downy Mildew of Maize,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing. Conspicuous downy growth on or under leaf surfaces.",Peronosclerospora philippinensis,Prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
SDM,Sugarcane Downy Mildew of Maize,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing.",Peronosclerospora sacchari,Prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
SorghumDM,Sorghum Downy Mildew of Maize,fungal_disease,"Chlorotic striping of leaves and leaf sheaths, and dwarfing. Downy growth on or under leaf surfaces, most conspicuous after conidia formation which commonly occurs in early morning.",Peronosclerospora sorghi,Prevalent in warm and humid regions.,,FALSE,,CIMMYT Maize Diseases Guide p. 8,,
TS,Tar Spot,fungal_disease,"Characteristic black, raised and shiny spots are produced early. At a later stage, necrotic areas develop around the 'tar spot'. These necrotic lesions may coalesce and cause a complete burning of the foliage. Lesions start developing before tasseling time on lower leaves, moving upwards on younger leaves. Affected ears are light weight.",Phyllachora maydis,"Sometimes occurs in relatively cool, humid areas of the tropics, where Turcicum leaf blight is prevalent.",,FALSE,,CIMMYT Maize Diseases Guide p. 12,,
CR,Common Rust,fungal_disease,Characterized by elongate raised bumps (pustules) scattered or clustered together on both leaf surfaces that are red to dark brown in color. The symptoms are mainly observed in the mid and upper canopy of the crop in stage II and III of crop development. These occur most conspicuously when plants approach tasseling. Later the epidermis is ruptured and the lesions turn black and spores are released as the plant matures.,Puccinia sorghi,Disease spread is favored by humid warm conditions and in severe cases cause death of the leaves.,"Southern rust pustules are small, round, light orange, later turning black. Tropical rust pustules are small, round-to-oval, surrounded by black epidermis.",FALSE,"Grow resistant varieties, control alternate hosts (Wood sorrel / Oxalis spp.) and spray with fungicides.",CIMMYT Maize Diseases Guide p. 13; KALRO Disease Guide p. 22; KCEP-CRAL Maize Extension Manual p. 11,,
